timestamp_utc,timestamp_epoch,temp_f,temp_c,device_id
2/7/2021 0:07,      1612656468,   64  ,   17.8, 2.70718E+15
2/7/2021 0:06,      1612656368,   63.7,   17.6, 2.70718E+15
2/7/2021 0:03,      1612656200,   62.4,   16.9, 2.58228E+15
2/7/2021 0:01,      1612656094,   62.4,   16.9, 2.58228E+15
2/7/2021 0:03,      1612656213,   63.3,   17.4, 2.70718E+15
2/7/2021 0:02,      1612656128,   69.8,   21  , 2.75309E+15
2/7/2021 0:01,      1612656061,   69.6,   20.9, 2.75309E+15
2/7/2021 0:06,      1612656415,   70.2,   21.2, 2.75309E+15
2/7/2021 0:03,      1612656238,   69.8,   21  , 2.75309E+15
2/7/2021 0:07,      1612656467,   63  ,   17.2, 2.58228E+15
2/7/2021 0:05,      1612656336,   63.7,   17.6, 2.70718E+15
2/7/2021 0:01,      1612656090,   70  ,   21.1, 2.75309E+15
2/7/2021 0:00,      1612656035,   62.2,   16.8, 2.58228E+15
2/7/2021 0:01,      1612656117,   62.4,   16.9, 2.58228E+15
2/7/2021 0:02,      1612656168,   63.5,   17.5, 2.70718E+15
2/7/2021 0:01,      1612656066,   63.3,   17.4, 2.70718E+15
2/7/2021 0:01,      1612656098,   63.3,   17.4, 2.70718E+15
2/7/2021 0:03,      1612656233,   69.8,   21  , 2.75309E+15
2/7/2021 0:05,      1612656324,   63.7,   17.6, 2.70718E+15
2/7/2021 0:01,      1612656063,   62.2,   16.8, 2.58228E+15
2/7/2021 0:05,      1612656348,   70  ,   21.1, 2.75309E+15
2/7/2021 0:02,      1612656160,   63.3,   17.4, 2.70718E+15
2/7/2021 0:06,      1612656407,   63.9,   17.7, 2.70718E+15
2/7/2021 0:04,      1612656285,   62.8,   17.1, 2.58228E+15
2/7/2021 0:02,      1612656136,   63.3,   17.4, 2.70718E+15
2/7/2021 0:04,      1612656298,   63.7,   17.6, 2.70718E+15
2/7/2021 0:04,      1612656294,   62.8,   17.1, 2.58228E+15
2/7/2021 0:01,      1612656088,   69.8,   21  , 2.75309E+15
2/7/2021 0:02,      1612656178,   62.4,   16.9, 2.58228E+15
2/7/2021 0:07,      1612656462,   63  ,   17.2, 2.58228E+15
2/7/2021 0:05,      1612656306,   63.7,   17.6, 2.70718E+15
2/7/2021 0:05,      1612656355,   63.7,   17.6, 2.70718E+15
2/7/2021 0:04,      1612656291,   70  ,   21.1, 2.75309E+15
2/7/2021 0:01,      1612656070,   62.2,   16.8, 2.58228E+15
2/7/2021 0:07,      1612656450,   70.2,   21.2, 2.75309E+15
2/7/2021 0:03,      1612656211,   69.6,   20.9, 2.75309E+15
